No,Latitude,Longitude,Peso
1673568371,2.8191652,-60.7053123,0
1673568373,2.8192343,-60.7043499,0
1673568376,2.819288,-60.7034897,0
1673568379,2.8193402,-60.7026534,0
1673568382,2.8193941,-60.7018131,0
1673568384,2.8194566,-60.7009267,0
1673568385,2.8195046,-60.7001884,0
1673568386,2.819551,-60.6992623,0
1673568387,2.8198564,-60.6946713,0
1673568392,2.8204555,-60.6684163,0
1673568405,2.8211307,-60.7018824,0
1673568406,2.8211565,-60.7027232,0
1673568407,2.8211613,-60.7035813,0
1673568408,2.8212015,-60.7044535,0
1673568410,2.8212209,-60.7061569,0
1673568411,2.8212268,-60.7069691,0
1673568412,2.8212155,-60.7078436,0
1673568413,2.8212546,-60.7087089,0
1673568414,2.8212512,-60.7095566,0
1673568415,2.8212754,-60.7104128,0
1673568416,2.8212815,-60.7112508,0
1673568424,2.8223943,-60.6956489,0
1673568432,2.8226291,-60.6993437,0
1673568433,2.8226881,-60.7002281,0
1673568434,2.8227228,-60.7007694,0
1673568435,2.8227985,-60.7019527,0
1673568436,2.8228569,-60.7027942,0
1673568437,2.8229178,-60.7036526,0
1673568438,2.8229645,-60.7045227,0
1673568439,2.8230743,-60.7062227,0
1673568440,2.8231279,-60.7070521,0
1673568441,2.8231948,-60.7079065,0
1673568442,2.8232484,-60.7087621,0
1673568443,2.8233006,-60.709607,0
1673568444,2.8233636,-60.7104881,0
1673568445,2.8234158,-60.7113129,0
1673568446,2.8234888,-60.7121521,0
1673568447,2.8235391,-60.7130074,0
1673568449,2.8244924,-60.7281805,0
1673568450,2.8247552,-60.7052663,0
1673568451,2.8256949,-60.6933511,0
1673568456,2.8269137,-60.6971788,0
1673568467,2.8277927,-60.7049495,0
1673568472,2.8313286,-60.7103795,0
1673568513,2.8370382,-60.7128832,1
1673568519,2.8371091,-60.7130232,0
1673568527,2.8374161,-60.712678,0
1673568529,2.8374398,-60.7130086,0
1673620817,2.8051405,-60.6781367,0
1673620819,2.8055026,-60.6813388,0
1673620831,2.8063854,-60.6823271,0
1673620833,2.80656,-60.6852313,0
1673620839,2.8068457,-60.6800945,0
1673620856,2.8069299,-60.6802273,0
1673620869,2.8070613,-60.6800874,0
1673620871,2.8070539,-60.6903241,0
1673620881,2.8077594,-60.681119,0
1673620883,2.8078416,-60.6812018,0
1673620885,2.8078453,-60.6810319,0
1673620888,2.8078941,-60.6840605,0
1673620890,2.8083776,-60.6771771,0
1673620891,2.8087164,-60.6821858,0
1673620894,2.8087675,-60.6784828,0
1673620896,2.8088472,-60.6784046,0
1673620897,2.8089227,-60.6784637,0
1673620903,2.8092876,-60.6828512,0
1673620906,2.8093911,-60.6827711,0
1673620908,2.8094052,-60.6829758,0
1673620911,2.8098286,-60.6793291,0
1673620913,2.8099286,-60.6792379,0
1673620914,2.8100131,-60.679308,0
1673620916,2.8102553,-60.6867315,0
1673620918,2.8106286,-60.681711,0
1673620919,2.8109909,-60.6765145,0
1673620929,2.8110907,-60.6801211,0
1673620935,2.8115755,-60.6855006,0
1673620939,2.8116701,-60.6807984,0
1673620940,2.8116588,-60.6807184,0
1673620966,2.8118536,-60.6854659,0
1673620981,2.8119682,-60.6807563,0
1673620989,2.812006,-60.6774279,0
1673621002,2.8126214,-60.6799405,0
1673621004,2.8127391,-60.6800627,0
1673621010,2.8128952,-60.6932786,0
1673621012,2.8134531,-60.6833741,0
1673621014,2.8134896,-60.679171,10
1673621020,2.8136073,-60.6793014,0
1673621028,2.8138574,-60.6907755,0
1673621058,2.8146327,-60.6888314,0
1673621059,2.8146774,-60.6733273,0
1673621063,2.815109,-60.6779515,0
1673621065,2.8151005,-60.6777804,0
1673621066,2.8153302,-60.6870238,0
1673621067,2.8155702,-60.6743371,0
1673621068,2.8156227,-60.672445,0
1673621071,2.8158606,-60.6706665,0
1673621074,2.8162719,-60.6767604,0
1673621075,2.8163349,-60.6790998,0
1673621076,2.8163998,-60.6842922,0
1673621077,2.8164766,-60.6735286,0
1673621079,2.8165101,-60.6734441,0
1673621080,2.8165894,-60.6734186,0
1673621083,2.8166798,-60.673511,0
1673621085,2.8170998,-60.6760489,0
1673621089,2.8175698,-60.6725966,0
1673621090,2.8176403,-60.670725,0
1673621091,2.8177848,-60.6707533,0
1673621093,2.8178256,-60.6705473,0
1673621100,2.8179664,-60.6705879,0
1673621101,2.8180695,-60.6752046,0
1673621114,2.8184995,-60.6719055,0
1673621115,2.8186167,-60.6700156,0
1673621116,2.8186537,-60.678484,0
1673621126,2.8190303,-60.6711379,0
1673621127,2.8190795,-60.6743029,0
1673621128,2.8190592,-60.6774706,0
1673621130,2.8192244,-60.6803575,0
1673621133,2.8192658,-60.6693057,0
1673621137,2.8193411,-60.6656905,0
1673621140,2.819368,-60.6691229,0
1673621146,2.8194347,-60.6656072,0
1673621152,2.8194751,-60.6687094,0
1673621153,2.8195205,-60.6762518,0
1673621159,2.8195324,-60.6689721,0
1673621161,2.8195082,-60.68042,0
1673621172,2.8197365,-60.6688969,0
1673621175,2.8196647,-60.6763208,0
1673621182,2.8203932,-60.6683498,0
1673621186,2.8214065,-60.6674312,0
1673621193,2.8228119,-60.6710261,0
1673621195,2.823165,-60.6633508,0
1673621196,2.8232243,-60.6658622,0
1673621199,2.823819,-60.6701343,0
1673621208,2.8243326,-60.6648152,0
1673621209,2.8244166,-60.664975,0
1673621210,2.8244197,-60.6647415,0
1673621211,2.8244424,-60.6649793,0
1673621213,2.8244586,-60.6647437,0
1673621219,2.8245603,-60.6648673,0
1673621221,2.8245586,-60.6648467,0
1673621222,2.8246186,-60.6797043,0
1673621224,2.8247925,-60.6693122,0
1673621226,2.8248555,-60.6598043,0
1673621230,2.8252241,-60.665853,0
1673621234,2.8252905,-60.6659649,0
1673621236,2.8253014,-60.6657581,0
1673621238,2.8253427,-60.6659718,0
1673621239,2.825347,-60.6657577,0
1673621245,2.8254371,-60.6658878,0
1673621246,2.8254389,-60.665852,0
1673621248,2.8256306,-60.6685816,0
1673621258,2.825782,-60.6636078,0
1673621263,2.8260686,-60.6668319,0
1673621269,2.8260753,-60.6667939,0
1673621271,2.8261546,-60.666951,0
1673621273,2.8261634,-60.6667146,0
1673621275,2.8262202,-60.666715,0
1673621296,2.8263133,-60.6668349,0
1673621317,2.8267775,-60.6675765,0
1673621324,2.8268718,-60.6674982,0
1673621337,2.8271429,-60.6624142,0
1673621338,2.8272333,-60.6623425,0
1673621339,2.827303,-60.6624216,0
1673621341,2.8273501,-60.6773971,2
1673621343,2.827854,-60.6962899,0
1673621352,2.8280636,-60.676208,0
1673621353,2.8281924,-60.6663453,0
1673621356,2.8285228,-60.6708625,0
1673621358,2.8284513,-60.675293,0
1673621361,2.828548,-60.6710147,0
1673621370,2.8286567,-60.6709885,0
1673621372,2.8287253,-60.674339,0
1673621380,2.828814,-60.6718173,0
1673621381,2.8288475,-60.6735154,0
1673621384,2.8288701,-60.672635,0
1673621388,2.8295419,-60.6651467,0
1673621410,2.8296388,-60.6650717,0
1673621413,2.8296738,-60.6653003,0
1673621419,2.8297634,-60.6652214,0
1673621436,2.8321405,-60.6679702,0
1673621444,2.8335243,-60.6696797,0
1673621455,2.8335291,-60.6695119,0
1673621457,2.8336507,-60.6696486,0
1673621459,2.8336205,-60.669784,0
1673621468,2.833736,-60.6697542,0
1673621478,2.835536,-60.6599201,0
1673621480,2.8346466,-60.6707813,0
1673621482,2.8496724,-60.6428223,0
1673621483,2.8354838,-60.6692141,0
1673621485,2.8357384,-60.6720188,0
1673621487,2.8361347,-60.6726452,0
1673621488,2.8361752,-60.6725171,0
1673621489,2.8364452,-60.6591357,0
1673621490,2.8370282,-60.6688569,0
1673621492,2.8370744,-60.6735974,0
1673621493,2.837209,-60.6584696,0
1673621494,2.8375553,-60.6741039,0
1673621497,2.837938,-60.6578404,0
1673621498,2.8384239,-60.6750931,0
